,model_name,trained_on,dataset,valid_loss,valid_accuracy,train_loss,train_accuracy
226,MLP,MNIST,FashionMNIST,tensor(2.3026),0.0,tensor(2.7250),tensor(0.2828)
227,MLP,MNIST,KMNIST,tensor(2.9305),0.0,tensor(2.7364),tensor(0.3131)
228,MLP,MNIST,CIFAR10,tensor(2.3360),0.0,tensor(2.9828),tensor(0.0505)
229,MLP,MNIST,SVHN,tensor(2.3413),0.0,tensor(3.2248),tensor(0.1111)
230,MLP,MNIST,MNIST,tensor(2.3140),0.0,tensor(2.8526),tensor(0.1313)
231,MLP,MNIST,FashionMNIST,tensor(2.3026),0.0,tensor(2.6969),tensor(0.0505)
232,MLP,MNIST,KMNIST,tensor(2.3026),0.0,tensor(3.1364),tensor(0.1111)
233,MLP,MNIST,CIFAR10,tensor(2.3026),0.0,tensor(2.6719),tensor(0.0505)
234,MLP,MNIST,SVHN,tensor(2.3026),0.0,tensor(2.4398),tensor(0.1313)
235,MLP,MNIST,MNIST,tensor(2.3026),0.0,tensor(2.4506),tensor(0.2323)
236,MLP,MNIST,FashionMNIST,tensor(2.5429),0.0,tensor(2.6013),tensor(0.2525)
237,MLP,MNIST,KMNIST,tensor(2.3026),0.0,tensor(2.8650),tensor(0.1212)
238,MLP,MNIST,CIFAR10,tensor(2.3026),0.0,tensor(2.5989),tensor(0.0909)
239,MLP,MNIST,SVHN,tensor(2.3026),0.0,tensor(2.4614),tensor(0.0909)
